/var/spool/slurm/d/job73778/slurm_script: line 11: cd: MAPPO: No such file or directory
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
u are choosing to use mappo, we set use_recurrent_policy & use_naive_recurrent_policy to be False
[render] auto_align: dynamic goals (M=10 slots + neighbor P=0), num_agents=10, robot_obs_dim=77
[render] auto_align: actor input dim 79, robot_obs_dim=77
成功加载长度 10: 26 个图案。
初始化完成：内存中可用长度 -> [10]
[render] nearest_n_radius: num_agents=10 (pattern 'S')
choose to use gpu...
================ Results Saved in run21 ================

成功加载长度 10: 26 个图案。
初始化完成：内存中可用长度 -> [10]
[font-pattern][render] env_rank=0, length(s)=[10], name=S
average episode rewards is: -635518.9689786967
average episode rewards is: -645494.956646153
average episode rewards is: -743789.5101733764
average episode rewards is: -706573.3917472449
average episode rewards is: -476518.33952082135
average episode rewards is: -917373.1530840338
average episode rewards is: -258705.35070578678
average episode rewards is: -528800.2428516953
average episode rewards is: -824165.3741009735
average episode rewards is: -1080018.7117135262
average episode rewards is: -782714.8031688149
average episode rewards is: -373440.29528649
average episode rewards is: -829199.4887246784
average episode rewards is: -726426.7741654606
average episode rewards is: -507250.88333547034
average episode rewards is: -678196.9036376367
average episode rewards is: -665755.6473760775
average episode rewards is: -640871.6502562672
average episode rewards is: -639333.1954135813
average episode rewards is: -766035.1870868956
average episode rewards is: -471174.95035095233
average episode rewards is: -711920.2869828393
average episode rewards is: -851257.3127365742
average episode rewards is: -521782.93119631225
average episode rewards is: -520828.0455183084
average episode rewards is: -936301.6256662526
average episode rewards is: -617484.0327831069
average episode rewards is: -436372.0492687151
average episode rewards is: -567795.8708506789
average episode rewards is: -383190.87230160995
average episode rewards is: -486557.02477192756
average episode rewards is: -812520.7415505202
average episode rewards is: -552386.0202888895
average episode rewards is: -661840.9661275112
average episode rewards is: -424171.24321294576
average episode rewards is: -559694.5009307278
average episode rewards is: -568379.0891834166
average episode rewards is: -629763.8065939167
average episode rewards is: -571956.9057325732
average episode rewards is: -517713.20610501524
average episode rewards is: -636016.7209178597
average episode rewards is: -399158.62426101073
average episode rewards is: -588250.6337454553
average episode rewards is: -837511.5110182661
average episode rewards is: -538209.1515713499
average episode rewards is: -765419.824842448
average episode rewards is: -728540.4602443188
average episode rewards is: -635807.4868085131
average episode rewards is: -980478.3416601969
average episode rewards is: -702962.3898373478
average episode rewards is: -802246.952257018
average episode rewards is: -697262.1218872038
average episode rewards is: -976528.6605724879
average episode rewards is: -729332.5221741011
average episode rewards is: -672036.6243876383
average episode rewards is: -531157.9383097888
average episode rewards is: -473981.1850714128
average episode rewards is: -602954.4152673136
average episode rewards is: -572224.3262469575
average episode rewards is: -668956.3266331754
average episode rewards is: -470575.9280952083
average episode rewards is: -729273.4710017387
average episode rewards is: -383586.5131999067
average episode rewards is: -491139.19491595775
average episode rewards is: -708908.1770341091
average episode rewards is: -586469.93399655
average episode rewards is: -524306.2190971655
average episode rewards is: -354232.4289516948
average episode rewards is: -420337.92885008064
average episode rewards is: -952363.4468115102
average episode rewards is: -614701.6076671374
average episode rewards is: -674589.8029221119
average episode rewards is: -975466.4128390407
average episode rewards is: -730313.0738317536
average episode rewards is: -711649.5203476615
average episode rewards is: -438954.50349687727
average episode rewards is: -562312.0741683214
average episode rewards is: -276806.0314962388
average episode rewards is: -506556.4856493889
average episode rewards is: -751042.5619353347
average episode rewards is: -573993.2390962382
average episode rewards is: -566980.0365038196
average episode rewards is: -622308.3624810955
average episode rewards is: -515256.37199642276
average episode rewards is: -427951.0202481942
average episode rewards is: -723303.622848801
average episode rewards is: -711976.8866994554
average episode rewards is: -779359.142357139
average episode rewards is: -686511.6848736147
average episode rewards is: -345976.43090854463
average episode rewards is: -310985.68489030487
average episode rewards is: -703885.1948388151
average episode rewards is: -712269.2330255967
average episode rewards is: -686787.4073790236
average episode rewards is: -451401.150506412
average episode rewards is: -530873.1708142363
average episode rewards is: -373597.79318275244
average episode rewards is: -480062.48102981196
average episode rewards is: -475522.2997129542
average episode rewards is: -692879.4479381592
accomplish test,test episode: 100
